TILE,WKT
SU1527,"POLYGON((415000 127000, 416000 127000, 416000 128000, 415000 128000, 415000 127000))"
SU1528,"POLYGON((415000 128000, 416000 128000, 416000 129000, 415000 129000, 415000 128000))"
SU1529,"POLYGON((415000 129000, 416000 129000, 416000 130000, 415000 130000, 415000 129000))"
SU1620,"POLYGON((416000 120000, 417000 120000, 417000 121000, 416000 121000, 416000 120000))"
SU1621,"POLYGON((416000 121000, 417000 121000, 417000 122000, 416000 122000, 416000 121000))"
SU1622,"POLYGON((416000 122000, 417000 122000, 417000 123000, 416000 123000, 416000 122000))"
SU1623,"POLYGON((416000 123000, 417000 123000, 417000 124000, 416000 124000, 416000 123000))"
SU1624,"POLYGON((416000 124000, 417000 124000, 417000 125000, 416000 125000, 416000 124000))"
SU1625,"POLYGON((416000 125000, 417000 125000, 417000 126000, 416000 126000, 416000 125000))"
SU1626,"POLYGON((416000 126000, 417000 126000, 417000 127000, 416000 127000, 416000 126000))"
SU1627,"POLYGON((416000 127000, 417000 127000, 417000 128000, 416000 128000, 416000 127000))"
SU1628,"POLYGON((416000 128000, 417000 128000, 417000 129000, 416000 129000, 416000 128000))"
SU1629,"POLYGON((416000 129000, 417000 129000, 417000 130000, 416000 130000, 416000 129000))"
SU1720,"POLYGON((417000 120000, 418000 120000, 418000 121000, 417000 121000, 417000 120000))"
SU1721,"POLYGON((417000 121000, 418000 121000, 418000 122000, 417000 122000, 417000 121000))"
SU1722,"POLYGON((417000 122000, 418000 122000, 418000 123000, 417000 123000, 417000 122000))"
SU1723,"POLYGON((417000 123000, 418000 123000, 418000 124000, 417000 124000, 417000 123000))"
SU1724,"POLYGON((417000 124000, 418000 124000, 418000 125000, 417000 125000, 417000 124000))"
SU1725,"POLYGON((417000 125000, 418000 125000, 418000 126000, 417000 126000, 417000 125000))"
SU1726,"POLYGON((417000 126000, 418000 126000, 418000 127000, 417000 127000, 417000 126000))"
SU1727,"POLYGON((417000 127000, 418000 127000, 418000 128000, 417000 128000, 417000 127000))"
SU1728,"POLYGON((417000 128000, 418000 128000, 418000 129000, 417000 129000, 417000 128000))"
SU1729,"POLYGON((417000 129000, 418000 129000, 418000 130000, 417000 130000, 417000 129000))"
SU1820,"POLYGON((418000 120000, 419000 120000, 419000 121000, 418000 121000, 418000 120000))"
SU1821,"POLYGON((418000 121000, 419000 121000, 419000 122000, 418000 122000, 418000 121000))"
SU1822,"POLYGON((418000 122000, 419000 122000, 419000 123000, 418000 123000, 418000 122000))"
SU1823,"POLYGON((418000 123000, 419000 123000, 419000 124000, 418000 124000, 418000 123000))"
SU1824,"POLYGON((418000 124000, 419000 124000, 419000 125000, 418000 125000, 418000 124000))"
SU1825,"POLYGON((418000 125000, 419000 125000, 419000 126000, 418000 126000, 418000 125000))"
SU1826,"POLYGON((418000 126000, 419000 126000, 419000 127000, 418000 127000, 418000 126000))"
SU1827,"POLYGON((418000 127000, 419000 127000, 419000 128000, 418000 128000, 418000 127000))"
SU1828,"POLYGON((418000 128000, 419000 128000, 419000 129000, 418000 129000, 418000 128000))"
SU1829,"POLYGON((418000 129000, 419000 129000, 419000 130000, 418000 130000, 418000 129000))"
SU1920,"POLYGON((419000 120000, 420000 120000, 420000 121000, 419000 121000, 419000 120000))"
SU1921,"POLYGON((419000 121000, 420000 121000, 420000 122000, 419000 122000, 419000 121000))"
SU1922,"POLYGON((419000 122000, 420000 122000, 420000 123000, 419000 123000, 419000 122000))"
SU1923,"POLYGON((419000 123000, 420000 123000, 420000 124000, 419000 124000, 419000 123000))"
SU1925,"POLYGON((419000 125000, 420000 125000, 420000 126000, 419000 126000, 419000 125000))"
SU1926,"POLYGON((419000 126000, 420000 126000, 420000 127000, 419000 127000, 419000 126000))"
SU1927,"POLYGON((419000 127000, 420000 127000, 420000 128000, 419000 128000, 419000 127000))"
SU1928,"POLYGON((419000 128000, 420000 128000, 420000 129000, 419000 129000, 419000 128000))"
SU1929,"POLYGON((419000 129000, 420000 129000, 420000 130000, 419000 130000, 419000 129000))"
SU1030,"POLYGON((410000 130000, 411000 130000, 411000 131000, 410000 131000, 410000 130000))"
SU1031,"POLYGON((410000 131000, 411000 131000, 411000 132000, 410000 132000, 410000 131000))"
SU1032,"POLYGON((410000 132000, 411000 132000, 411000 133000, 410000 133000, 410000 132000))"
SU1033,"POLYGON((410000 133000, 411000 133000, 411000 134000, 410000 134000, 410000 133000))"
SU1034,"POLYGON((410000 134000, 411000 134000, 411000 135000, 410000 135000, 410000 134000))"
SU1130,"POLYGON((411000 130000, 412000 130000, 412000 131000, 411000 131000, 411000 130000))"
SU1131,"POLYGON((411000 131000, 412000 131000, 412000 132000, 411000 132000, 411000 131000))"
SU1132,"POLYGON((411000 132000, 412000 132000, 412000 133000, 411000 133000, 411000 132000))"
SU1133,"POLYGON((411000 133000, 412000 133000, 412000 134000, 411000 134000, 411000 133000))"
SU1134,"POLYGON((411000 134000, 412000 134000, 412000 135000, 411000 135000, 411000 134000))"
SU1135,"POLYGON((411000 135000, 412000 135000, 412000 136000, 411000 136000, 411000 135000))"
SU1136,"POLYGON((411000 136000, 412000 136000, 412000 137000, 411000 137000, 411000 136000))"
SU1137,"POLYGON((411000 137000, 412000 137000, 412000 138000, 411000 138000, 411000 137000))"
SU1138,"POLYGON((411000 138000, 412000 138000, 412000 139000, 411000 139000, 411000 138000))"
SU1230,"POLYGON((412000 130000, 413000 130000, 413000 131000, 412000 131000, 412000 130000))"
SU1231,"POLYGON((412000 131000, 413000 131000, 413000 132000, 412000 132000, 412000 131000))"
SU1232,"POLYGON((412000 132000, 413000 132000, 413000 133000, 412000 133000, 412000 132000))"
SU1233,"POLYGON((412000 133000, 413000 133000, 413000 134000, 412000 134000, 412000 133000))"
SU1234,"POLYGON((412000 134000, 413000 134000, 413000 135000, 412000 135000, 412000 134000))"
SU1235,"POLYGON((412000 135000, 413000 135000, 413000 136000, 412000 136000, 412000 135000))"
